"","Residential","NonResidential","Road","NonRoad","Agriculture","Total"
"DE035L1",1244916.75187874,514841.735404968,464728.296381474,2247.99588030577,38108.2559212372,2264843.03546672
"DE036L0",1157415.93182373,330321.211639404,191362.117919922,1233.09791588783,6741.01946598291,1687073.37876493
"DE037L1",444470.148551941,117391.549375534,158395.238135338,10973.8242625296,57711.1799062192,788941.940231562
"DE038L1",23615493.706151,10031934.6992722,4657721.11298168,72143.7029795051,125600.709213124,38502893.9305975
"DE039L1",1505858.54097915,382950.487072945,368788.635256683,6006.53987852857,187997.759875774,2451601.96306308
"DE040L1",1674740.30510762,377317.261219501,440907.092729568,1352.18488157727,25340.0792374425,2519656.92317571
"DE042L1",457787.000206947,186625.274472237,277140.898078918,1288.93509759009,36783.9308244288,959626.038680121
"DE043L2",752737.952866793,580747.891576767,124055.705354393,2132.97401843406,242950.427317038,1702624.95113342
"DE044L1",373838.418422461,121291.53142643,106350.221797526,1217.28600029275,28881.1191599882,631578.576806697
"DE045L1",992419.476977348,212324.994264603,159721.358795643,420.593364238739,11241.7768552229,1376128.20025706
"DE048L1",419406.872051083,252749.752883196,59504.8882400994,11452.4447697867,15242.505717542,758356.463661707
"DE050L1",295460.949270248,36780.2466468811,42920.9326457977,114.082681626081,18169.3705387712,393445.581783324
"DE051L1",247572.637415171,56495.1380310059,51416.8573577404,119.555899426341,19975.4849479338,375579.673651277
"DE052L1",657629.064346731,271375.73931706,119354.701378316,2162.47125463933,118037.611708358,1168559.5880051
"DE053L1",306788.833459854,21435.7000102997,79017.4671721458,153.356475889683,35409.4957093447,442804.852827534
"DE054L1",259177.489855289,67171.1380636096,63709.4270550609,151.921637358144,24581.5470562354,414791.523667553
"DE055L0",192779.92760849,103901.44290638,31999.4633407593,631.237385034561,2215.04018056393,331527.111421227
"DE056L0",210530.164484024,284757.322254419,18714.9916057587,723.302173450589,4013.86435720325,518739.644874856
"DE057L1",506531.088923454,129368.539907217,183496.207363605,333.291354507208,30753.6150621846,850482.742610969
"DE058L1",380270.674668312,154898.061315536,78650.8430662155,765.341856732965,54402.7812052816,668987.702112079
"DE059L1",296668.805002213,50288.4046382904,155200.774863482,172.996896609664,63081.2021245928,565412.183525187
"DE060L1",359087.503746629,58543.4783267975,50348.3528398573,1329.84301500395,41042.9033878949,510352.081316182
"DE061L1",633374.86254406,172013.292597294,141344.721887171,2922.06368695945,19533.8272674233,969188.767982908
"DE062L1",326722.148440361,41857.0231431723,93135.049751997,676.933250755072,45751.0599709153,508142.214557201
"DE063L1",369397.328046181,73661.2333569527,77005.040748477,271.02581196418,42840.4194844859,563175.047448061
"DE064L1",323854.216591537,224061.474994659,62911.1974712163,626.915703333914,331654.42471049,943108.229471236
"DE065L1",348219.782696724,43538.6484510899,123459.777906775,654.205996900797,29684.465349704,545556.880401194
"DE066L1",235109.361578997,23750.608386755,79090.2579356022,69.9280945956707,6954.21061862679,344974.366614577
"DE067L1",277117.418282509,21240.7669153214,74755.6127958298,184.994488812983,105731.219256639,479030.011739112
"DE069L1",346926.864411667,17634.6540851593,114632.465610221,327.738502033055,10447.0607053521,489968.783314433
"DE071L1",238560.672292512,147028.888504505,35012.9684964535,620.355470262468,198137.377052307,619360.26181604
"DE072L1",244122.835217148,38563.9927014709,45513.3971083164,177.787486642133,18936.1579477638,347314.170461341
"DE073L1",520438.499638796,141676.814638734,136652.278764129,1877.02171710134,43434.9403136233,844079.555072383
"DE074L1",280910.058983275,161462.460714817,47695.1150971055,485.80872195214,69434.3378225528,559987.781339702
"DE077L1",286463.338585854,136212.939599037,125304.390454173,282.428554259241,92482.6459974945,640745.743190818
"DE078L1",263073.852408737,251379.244383335,34447.180678457,1502.31198355183,167114.180746706,717516.770200787
"DE079L1",381675.811817169,27936.4327735901,114079.008380413,161.720745205879,15309.8907335848,539162.864449963
"DE081L1",337933.506233573,21314.9584438801,76718.7521598339,457.649593964918,73404.9492961206,509829.815727372
"DE082L0",156048.407619476,157185.536296844,21914.9924583435,505.766768813133,5892.53099048138,341547.234133959
"DE083L1",2279280.70255375,1064346.87990057,541122.352675378,4275.79899865948,243606.397138983,4132632.13126734
"DE084L1",2401213.25206065,1032578.2806015,658094.96746254,22146.7162125073,61405.885467086,4175439.10180429
"DE504L1",1291134.65323448,301313.672893047,320388.309075356,1643.51987677813,108459.646282703,2022939.80136237
"DE505L0",630043.413978577,287532.910617828,91161.3778305054,466.427735626698,6793.61056834459,1015997.74073088
"DE507L1",660743.17083841,140029.086459965,165290.823872566,676.789406211115,5470.26924869139,972210.139825843
"DE508L0",1150261.63173676,500794.078167915,127851.428821564,7295.84219115973,3514.6123675704,1789717.59328496
"DE510L1",1258312.00383234,313915.424340844,168482.128542118,13848.7934404314,117410.200658053,1871968.55081379
"DE513L1",1439654.45139265,501294.188456535,313390.158836365,1698.86656674743,51581.8686331213,2307619.53388542
"DE516L0",912679.016830444,52920.377702713,93950.876121521,314.271508693695,464.670384243131,1060329.21254762
"DE517L1",1415636.72251272,709240.345118523,322359.108071566,2304.66713968664,163140.032764435,2612680.87560693
"DE520L1",1556481.35454273,214803.931417465,222841.128031731,2627.05719874799,100709.316991419,2097462.78818209
"DE522L1",1284333.90257335,267121.337062836,351348.950757504,1070.48433105648,37534.8772474229,1941409.55197217
"DE523L1",683042.16782093,293965.686264515,155922.3807621,608.945527866483,63827.6254580319,1197366.80583344
"DE524L2",651065.495673507,175166.723999262,255738.580882996,2518.39446551725,162801.167441103,1247290.36246239
"DE527L1",571212.188976377,333647.896141171,72301.3839045279,6431.66628366336,65718.2018818201,1049311.33718756
"DE529L1",844212.590500832,311208.172657609,186537.905583382,915.983004018664,61553.8087911606,1404428.460537
"DE530L0",373076.570365906,79640.8613090515,54041.0684051514,103.251529335976,450.751784339547,507312.503393784
"DE532L1",665137.682535172,244754.706850052,237304.583689213,572.302616298199,98483.3615262508,1246252.63721699
"DE533L1",472398.943260193,33648.0115633011,108026.528337479,183.735113173723,15989.0376806632,630246.255954809
"DE534L1",675088.423223972,214353.540752411,231115.033686161,585.533643018454,151526.7452133,1272669.27651886
"DE535L1",392409.298732758,91228.1375045776,66102.5119166374,257.81496784091,53863.1639947295,603860.927116543
"DE537L1",409145.972208977,70309.9097480774,65790.2996368408,85.0938404873013,32923.4916844964,578254.767118879
"DE539L1",458974.789112246,354869.423176363,67499.3613096476,1362.59358358756,40412.8332798071,923119.000461651
"DE540L2",799005.936542511,182807.988958359,181593.34436512,539.515092916787,12355.0250896588,1176301.81004857
"DE542L1",608744.557548523,207061.457839966,181274.22647953,1374.32982674241,75959.1663661599,1074413.73806092
"DE544L1",903993.203769684,215539.361634254,118490.896452904,410.988266646862,50422.3581922539,1288856.80831574
"DE546L0",1779349.2550087,252860.612474442,300975.296483994,1217.54248678684,1430.37834097445,2335833.08479489
"DE547L2",148995.354660988,94222.011013031,87584.9961454868,153.916280124336,35389.578409642,366345.856509272
"DK001L2",4328799.10442948,1104249.97648764,2002103.95359123,13281.5446749479,50599.3578512082,7499033.9370345
"DK002L1",1248627.23214188,359898.588573933,480327.410376562,17372.7486811653,137460.392245889,2243686.37201943
"DK003L1",824167.817869797,224813.557944894,280698.834382504,5033.92763470113,125107.028314017,1459821.16614591
"DK004L1",857345.111553676,259050.381313086,330980.268221376,7651.66469205357,208370.512571538,1663397.93835173
"EE001L1",819034.908156714,0,296641.283879789,16310.5221946239,58067.770954648,1190054.48518577
"EE002L1",293846.034496564,0,61006.4283986297,691.887051403522,68534.0140747041,424078.364021302
"EE003L0",55846.0298337936,0,6068.59075021744,1947.77727508545,111.075435638428,63973.473294735
"EL001L1",8021745.98661014,1953053.65154301,3494089.55569237,21967.1689130361,43229.6635363866,13534086.0262949
"EL002L1",755377.019089103,624090.083188646,408183.823756605,418.220075764926,77726.0623719115,1865795.20848203
"EL003L1",70400.5760040879,12700.0269129276,24440.1734439582,102.036709142267,13375.8661957979,121018.679265914
"EL004L1",38179.5186471939,8511.61836564541,8223.19240188599,2.97328986227512,53045.128724277,107962.431428865
"EL005L1",74433.8513386399,45386.6355823576,108661.286904126,538.762741899118,190927.695737243,419948.232304266
