"FUA","month","days","monthlyE","dailyE","meanDailyE","sdDailyE","cvDailyE"
"DE547L2","Mar","31","170774.890660813","5683.33105588941","0.104243049447715","18.9007559787772","18131.4304204591"
"DE547L2","Apr","30","159487.230502531","5484.60388300842","0.100598016929722","18.2398591251447","18131.430103525"
"DE547L2","May","31","149216.332057426","4965.86914150732","0.0910834398662384","16.5147302916507","18131.4301654654"
"DE547L2","Jun","30","147426.691430735","5069.85424890064","0.0929907235675099","16.8605478959468","18131.4299417256"
"DE547L2","Jul","31","148183.69142922","4931.50317460418","0.0904531029824685","16.4004411340795","18131.4300928495"
"DE547L2","Aug","31","149767.527366537","4984.21276932481","0.0914198967227588","16.5757345653497","18131.4299835817"
"DE547L2","Sep","30","151594.589870023","5213.18383880586","0.0956196595525653","17.3372117129277","18131.4300783479"
"DE547L2","Oct","31","166393.13284604","5537.50695913463","0.101568359485228","18.4157959511072","18131.4299496839"
"DE547L2","Nov","30","169812.316444058","5839.6733411544","0.107110662897183","19.420695197608","18131.4303098379"
"DE547L2","Dec","31","186885.972699605","6219.50195457735","0.114077438638616","20.6838711582842","18131.4301978749"
"DK001L2","Jan","31","781903.80796922","26014.3485196235","0.128560513758882","26.0020246879698","20225.5139838171"
"DK001L2","Feb","29","798838.515488574","28410.7070974939","0.140403097081279","28.3906826107438","20220.8378596581"
"DK001L2","Mar","31","671326.484503249","22332.7173841221","0.110366231865037","22.1359803731054","20056.8416616549"
"DK001L2","Apr","30","636696.803813189","21884.987554199","0.108153592293584","21.5756317919053","19949.0662624854"
"DK001L2","May","31","600613.691603535","19978.7143360886","0.0987329656690037","19.6914818127041","19944.1814385669"
"DK001L2","Jun","30","585554.064220065","20127.4390908765","0.0994679497055935","19.8673804405744","19973.6503058303"
"DK001L2","Jul","31","582494.343453745","19376.8074335989","0.0957583972088051","19.1548184516533","20003.2780518302"
"DK001L2","Aug","31","592188.363352187","19699.1949820786","0.0973516067727788","19.4638290460072","19993.3310720143"
"DK001L2","Sep","30","608358.989147609","20910.967584785","0.103340075338323","20.614471919263","19948.1874304558"
"DK001L2","Oct","31","686868.313860213","22848.79052345","0.112916617775301","22.5807547824898","19997.7250712773"
"DK001L2","Nov","30","690246.704928853","23727.9187730464","0.117261188593318","23.544377548274","20078.5765782488"
"DK001L2","Dec","31","773669.732655787","25739.886895729","0.127204149698934","25.6909361285813","20196.6179479101"
"DK002L1","Jan","31","293453.797106459","9766.04346475792","0.0272360103431619","10.474783360807","38459.3162832192"
"DK002L1","Feb","29","299757.176030131","10663.8053067296","0.0297397316200408","11.4376974819559","38459.3164056947"
"DK002L1","Mar","31","249514.570514847","8303.76105412353","0.0231579270329266","8.90638044863172","38459.3164835884"
"DK002L1","Apr","30","235120.902538719","8085.56940370527","0.0225494236949036","8.67235428572743","38459.3167571173"
"DK002L1","May","31","221718.267729983","7378.70941670528","0.0205780986658299","7.91419616760746","38459.3168500502"
"DK002L1","Jun","30","216525.277494781","7446.08411167033","0.0207659964460883","7.98646035950645","38459.3167982115"
"DK002L1","Jul","31","215770.02163457","7180.75360610303","0.0200260300082913","7.70187425418895","38459.3164546351"
"DK002L1","Aug","31","219250.773587814","7296.59186294316","0.0203490852939673","7.82611917165994","38459.3167633931"
"DK002L1","Sep","30","224637.638823057","7725.06030796477","0.0215440186405615","8.28568228554608","38459.3163596062"
"DK002L1","Oct","31","254424.511889196","8467.16229818181","0.0236136282582301","9.08164010222027","38459.3168102198"
"DK002L1","Nov","30","256882.60956761","8833.93268487443","0.0246364951010384","9.475027689308","38459.3167593415"
"DK002L1","Dec","31","289899.064703485","9647.74317241665","0.026906088814814","10.3478979149372","38459.3167225402"
"DK003L1","Jan","31","225486.751372322","7538.57478838277","0.0251618801827177","12.0356598269768","47832.9112911182"
"DK003L1","Feb","29","229702.357829062","8208.45207795568","0.0273977632999526","13.1359304397499","47945.2658085147"
"DK003L1","Mar","31","196064.878672269","6559.42396223863","0.0218937192292421","10.2773778244865","46942.1285478055"
"DK003L1","Apr","30","186433.785527613","6446.8601346994","0.0215180092812802","10.0267099241337","46596.8286985384"
"DK003L1","May","31","177447.030616375","5939.83305689294","0.0198256795055221","9.16976467371128","46251.9565655099"
"DK003L1","Jun","30","173967.3249885","6018.16655689647","0.0200871371678403","9.26215663248111","46109.8889059706"
"DK003L1","Jul","31","173457.802038736","5807.07903998417","0.019382579747146","8.93337583715168","46089.7153716966"
"DK003L1","Aug","31","175784.212133944","5884.50617545166","0.0196410121909716","9.07167095975862","46187.3903012422"
"DK003L1","Sep","30","179402.227393271","6205.06459003826","0.0207109561320756","9.59540194447319","46330.0771016193"
"DK003L1","Oct","31","199358.874622745","6669.04061116251","0.0222595922309273","10.4734628657408","47051.4587917252"
"DK003L1","Nov","30","200997.973148241","6947.71654563016","0.0231897429118873","10.9240587934581","47107.2871957469"
"DK003L1","Dec","31","223107.916667978","7459.40697263405","0.0248976377827794","11.8931531842234","47768.1990877439"
"DK004L1","Jan","31","298551.609544547","10107.0039119011","0.0201303861995294","10.0948051076532","50147.1010421507"
"DK004L1","Feb","29","301949.125181399","10924.9052798992","0.0217594219211381","10.9171388785175","50172.0078689778"
"DK004L1","Mar","31","274868.328274558","9318.83252451874","0.018560564464253","9.30675140311812","50142.609730661"
"DK004L1","Apr","30","267110.125144503","9362.66357919913","0.0186478639316263","9.36550996878605","50222.9638907992"
"DK004L1","May","31","259886.093864865","8820.22876360144","0.0175674822061187","8.84427784533345","50344.595438116"
"DK004L1","Jun","30","257087.062614356","9017.980472696","0.0179613494995708","9.0534846232369","50405.369727109"
"DK004L1","Jul","31","256679.984488589","8713.53076551228","0.0173549689898408","8.74948820237602","50414.8881366357"
"DK004L1","Aug","31","258556.109488506","8775.96753308791","0.0174793259461953","8.80476781584294","50372.4676966702"
