"FUA","month","days","dailyS","meanDailyS","sdDailyS","cvDailyS"
"ES055L0","Dec","31","4.21599202977451","0.0033999935723988","0.00801505243220135","235.737281895697"
"ES057L0","Jan","31","49.4786144453605","0.00174712621629098","0.00133946716158098","76.6668801080995"
"ES057L0","Feb","29","72.0837553002164","0.00254533034252177","0.00193578730694723","76.0524979649348"
"ES057L0","Mar","31","133.835179792989","0.00472581849551514","0.0035918281579669","76.0043611783988"
"ES057L0","Apr","30","159.86917124594","0.00564509785472953","0.00429607826011022","76.1028129301764"
"ES057L0","May","31","281.161254004182","0.00992801038150361","0.0076631876502675","77.1875467066837"
"ES057L0","Jun","30","343.831738590702","0.0121409512214231","0.00923546947570616","76.0687470633263"
"ES057L0","Jul","31","326.568547719444","0.0115313752725793","0.00870438454096995","75.4843575481263"
"ES057L0","Aug","31","266.473879503401","0.00940938840054381","0.00709433208388907","75.3963146369753"
"ES057L0","Sep","30","199.870998050047","0.00705759173905534","0.00532745967682014","75.4855179187967"
"ES057L0","Oct","31","129.691691097319","0.00457950886643076","0.0034744973806658","75.8705241545651"
"ES057L0","Nov","30","70.5384667232471","0.00249076506791127","0.00188725107024489","75.7699348910302"
"ES057L0","Dec","31","39.1015278829992","0.001380703668185","0.00104959262225212","76.0186741324339"
"ES059L0","Jan","31","54.0574378882683","0.00362121100537703","0.00589067073440692","162.670757934578"
"ES059L0","Feb","29","80.7636761951554","0.00541021410739251","0.00878235072469477","162.328559890697"
"ES059L0","Mar","31","167.496553257034","0.0112202942964251","0.0181726693029952","161.961978256719"
"ES059L0","Apr","30","206.480924811839","0.0138317875677813","0.0223136333941176","161.320883196594"
"ES059L0","May","31","332.397613171123","0.0222667211395447","0.0358738380706778","161.109147889588"
"ES059L0","Jun","30","267.09966185185","0.0178925282591004","0.0287394745901453","160.622295697476"
"ES059L0","Jul","31","213.040046175576","0.0142711713676029","0.0228713381221686","160.262075132354"
"ES059L0","Aug","31","176.859777845741","0.0118475199521531","0.0189922209807738","160.305016207449"
"ES059L0","Sep","30","149.621705244149","0.0100228902226788","0.0161036348012363","160.66812200143"
"ES059L0","Oct","31","115.041167307941","0.00770640188290064","0.0124488678606807","161.538850424122"
"ES059L0","Nov","30","82.5519668724634","0.00553000849895923","0.00894951978672032","161.835099293389"
"ES059L0","Dec","31","61.0829193350611","0.00409183543241299","0.00662882905475739","162.000885638115"
"ES065L0","Jan","31","32.9141330029163","0.0176199855475997","0.0157029780043244","89.1202660859365"
"ES065L0","Feb","29","39.7982490867506","0.0213052725303804","0.0189843061663448","89.1061409295471"
"ES065L0","Mar","31","58.2124932714285","0.0311630049632915","0.0277595894031077","89.078666950787"
"ES065L0","Apr","30","73.1180656659915","0.0391424334400383","0.0349113712886215","89.1906001248024"
"ES065L0","May","31","46.2298190009523","0.0247482971097175","0.0221252610041948","89.4011450812397"
"ES065L0","Jun","30","38.9323223171564","0.0208417143025463","0.018717999981621","89.8102704504214"
"ES065L0","Jul","31","24.1218320366287","0.0129131863151117","0.011609452453421","89.9038561833107"
"ES065L0","Aug","31","15.9013958186235","0.00851252452817102","0.00766233147113816","90.0124451422223"
"ES065L0","Sep","30","32.4173345110588","0.0173540334641643","0.0156440258705679","90.1463391947036"
"ES065L0","Oct","31","36.3289831390745","0.0194480637789478","0.0174905663394835","89.9347438299577"
"ES065L0","Nov","30","33.5436133585132","0.0179569664660135","0.0160112310838487","89.1644538856417"
"ES065L0","Dec","31","30.1065197475884","0.0161169805929274","0.0143376519676886","88.9599133350097"
